row,E_F,p_f_source,p_f_python,p_f_difference,p_t_source,p_t_python,p_t_difference,n_f_source,n_f_python,n_f_difference,n_t_source,n_t_python,n_t_difference
6.700000000000000000e+01,-8.826000000000000512e+00,4.472921242848052465e+27,4.473943540295106901e+27,1.022297447054435819e+24,4.472921242859718834e+27,4.473943540306768871e+27,1.022297447050037772e+24,1.725317514710089948e-31,1.725318395111204045e-31,8.804011140965096997e-38,-4.472921242859718284e+27,-4.473943540306770521e+27,-1.022297447052236795e+24
6.800000000000000000e+01,-8.823000000000000398e+00,4.466729691023389471e+27,4.467750591652247469e+27,1.020900628857998235e+24,4.466729691035047593e+27,4.467750591663909989e+27,1.020900628862396281e+24,1.755282623779239145e-31,1.755283419353835178e-31,7.955745960322465547e-38,-4.466729691035048142e+27,-4.467750591663911088e+27,-1.020900628862946037e+24
6.900000000000000000e+01,-8.820000000000000284e+00,4.460540190182275763e+27,4.461559692756357828e+27,1.019502574082064577e+24,4.460540190193916293e+27,4.461559692768019798e+27,1.019502574103505054e+24,1.785251565059181502e-31,1.785252283810750908e-31,7.187515694052985917e-38,-4.460540190193930586e+27,-4.461559692768021447e+27,-1.019502574090860670e+24
7.000000000000000000e+01,-8.817000000000000171e+00,4.454352831182700772e+27,4.455370934642459774e+27,1.018103459759002034e+24,4.454352831194360543e+27,4.455370934654122294e+27,1.018103459761750813e+24,1.815223918031192016e-31,1.815224567230028120e-31,6.491988361044704123e-38,-4.454352831194364392e+27,-4.455370934654123394e+27,-1.018103459759002034e+24
7.100000000000000000e+01,-8.814000000000000057e+00,4.448167695077197136e+27,4.449184398524156154e+27,1.016703446959017737e+24,4.448167695088858007e+27,4.449184398535818674e+27,1.016703446960667005e+24,1.845199308240541809e-31,1.845199894487968124e-31,5.862474263147260613e-38,-4.448167695088858557e+27,-4.449184398535819224e+27,-1.016703446960667005e+24
7.200000000000000000e+01,-8.810999999999999943e+00,4.441984854183528634e+27,4.443000156865739911e+27,1.015302682211277542e+24,4.441984854195188954e+27,4.443000156877402431e+27,1.015302682213476565e+24,1.875177402267360557e-31,1.875177931554744054e-31,5.292873834973728875e-38,-4.441984854195191703e+27,-4.443000156877403531e+27,-1.015302682211827298e+24
7.300000000000000000e+01,-8.807999999999999829e+00,4.435804373039340602e+27,4.436818274338046274e+27,1.013901298705672234e+24,4.435804373050984980e+27,4.436818274349708794e+27,1.013901298723814176e+24,1.905157903243079796e-31,1.905158381005990876e-31,4.777629110804115086e-38,-4.435804373051002572e+27,-4.436818274349709344e+27,-1.013901298706771746e+24
7.400000000000000000e+01,-8.804999999999999716e+00,4.429626309253004919e+27,4.430638808670478612e+27,1.012499417473693021e+24,4.429626309264675135e+27,4.430638808682140582e+27,1.012499417465446684e+24,1.935140546853999771e-31,1.935140978021871215e-31,4.311678714440778236e-38,-4.429626309264669638e+27,-4.430638808682142231e+27,-1.012499417472593509e+24
7.500000000000000000e+01,-8.801999999999999602e+00,4.423450714261959767e+27,4.424461811410386687e+27,1.011097148426920261e+24,4.423450714273621187e+27,4.424461811422049207e+27,1.011097148428019772e+24,1.965125097779632559e-31,1.965125486821239545e-31,3.890416069860789331e-38,-4.423450714273618988e+27,-4.424461811422049757e+27,-1.011097148430768551e+24
7.600000000000000000e+01,-8.798999999999999488e+00,4.417277634008376022e+27,4.418287328599753393e+27,1.009694591377370255e+24,4.417277634020042391e+27,4.418287328611415912e+27,1.009694591373521965e+24,1.995111346518974302e-31,1.995111697484053408e-31,3.509650791064181553e-38,-4.417277634020039642e+27,-4.418287328611417012e+27,-1.009694591377370255e+24
7.700000000000000000e+01,-8.795999999999999375e+00,4.411107109541261917e+27,4.412115401378137240e+27,1.008291836875323111e+24,4.411107109552915641e+27,4.412115401389799760e+27,1.008291836884119204e+24,2.025099106562811244e-31,2.025099423120115336e-31,3.165573040923321691e-38,-4.411107109552921688e+27,-4.412115401389800310e+27,-1.008291836878621646e+24
